id,node_id,position
5994226,34642092,0
5994226,34535737,1
5994226,34535832,2
5994226,34561922,3
5994262,34198714,0
5994262,34503174,1
5994262,1001588945,2
5994262,33347204,3
5994305,34564501,0
5994305,5478617154,1
5994305,2090577298,2
5994305,2090577378,3
5994348,34563953,0
5994348,34572808,1
5994348,34563211,2
5994348,34635743,3
5994348,34636767,4
5994348,34639739,5
5994348,34666646,6
5994348,34662921,7
5994348,34667185,8
5994348,34656355,9
5994348,34653442,10
5994348,33818528,11
5994389,33800899,0
5994389,33802412,1
5994856,3269471348,0
5994856,3269471334,1
5994856,5388175322,2
5994856,3269471337,3
5994856,34559567,4
5994856,34540391,5
5994856,34573870,6
5994910,33841501,0
5994910,34189259,1
5994910,34190139,2
5994910,34194691,3
5994910,34174350,4
5994910,34188758,5
5994910,34188801,6
5994910,34161596,7
5994910,34164029,8
5994910,34161547,9
5994910,34172935,10
5994910,34161165,11
5994910,34183246,12
5994910,34161435,13
5994910,34160555,14
5994910,34163890,15
5994910,34163876,16
5994910,34164033,17
5994910,34162866,18
5994910,34189224,19
5994910,34173972,20
5995128,33944202,0
5995128,34159832,1
5995191,34393448,0
5995191,34510497,1
5995232,34497325,0
5995232,34381781,1
5995232,34381755,2
5995232,34381784,3
5995232,34497152,4
5995232,34395012,5
5995232,34497385,6
5995232,34394890,7
5995232,34387163,8
5995232,34397141,9
5995232,34386154,10
5995232,34395899,11
5995232,34395014,12
5995232,34387729,13
5995232,34382781,14
5995232,34397136,15
5995232,34395269,16
5995232,34381735,17
5995232,34386227,18
5995232,34381757,19
5995232,34394971,20
5995232,33320546,21
5995232,33320554,22
5995232,33320553,23
5995232,33328298,24
5995232,33328297,25
5995232,33328296,26
5995232,33328295,27
5995232,34396872,28
5995232,34396695,29
5995232,34502814,30
5995232,34510298,31
5995232,34396709,32
5995232,33525547,33
5995232,1803523978,34
5995232,33944209,35
5995305,33464090,0
5995305,34391411,1
5995352,34391455,0
5995352,400697354,1
5995352,400697355,2
5995352,33521135,3
5995352,33376249,4
5995352,2624315211,5
5995352,33749434,6
5995352,33749443,7
5995352,33749386,8
5995352,33749345,9
5995352,33749317,10
5995352,33749264,11
5995352,33748795,12
5995352,33743240,13
